参数名称 参数含义
gvkey	公司全球标识符，全局唯一识别一家公司
ebit	息税前利润，公司在扣除利息和税费前的盈利能力
ebitda	息税折旧摊销前利润，公司在扣除利息、税费、折旧和摊销前的盈利能力
emp	    员工人数，公司雇佣的员工总数
epspi	基本每股收益，按发行的普通股数量计算的每股收益
epspx	稀释每股收益，按发行的普通股及潜在普通股数量计算的每股收益
fatb	固定资产总额，公司所有固定资产的账面价值总和
fatl	固定资产净额，公司固定资产在扣除折旧后的净值
ffo	    营运资金，公司正常经营活动产生的现金流量
fincf	融资现金流，公司融资活动产生的现金流量
fopt	财务运作利润，公司财务运作产生的利润
gdwl	商誉，公司收购其他企业时支付的溢价部分
gdwlia	商誉与无形资产摊销，公司摊销的商誉和无形资产部分
gdwlip	商誉与无形资产减值，公司减值的商誉和无形资产部分
gwo	    商誉的其他变化，公司商誉的其他变化部分
ib	    净利润，公司在扣除所有费用和税款后的利润
ibcom	普通股股东净利润，公司在扣除所有费用和税款后的普通股股东净利润
intan	无形资产，公司持有的无形资产总和
invt	库存，公司持有的存货总和
ivao	其他流动资产，公司持有的除现金及应收账款外的其他流动资产
ivncf	投资现金流，公司投资活动产生的现金流量
ivst	短期投资，公司持有的短期投资总和
lco	    流动负债，公司短期内需偿还的负债总和
lct	    流动负债，公司流动负债的总和
lo	    其他负债，公司未归类的其他负债
lt	    总负债，公司所有负债的总和
mib	    少数股东权益，公司少数股东持有的权益部分
msa	    销售与管理费用，公司在销售和管理活动中产生的费用
ni	    净收益，公司在扣除所有费用和税款后的收益
nopi	非运营利润，公司非经营活动产生的利润
oancf	经营现金流，公司经营活动产生的现金流量
ob	    其他资产，公司未归类的其他资产
oiadp	运营利润折旧和摊销，公司运营产生的利润扣除折旧和摊销后的金额
oibdp	运营收入折旧和摊销，公司运营产生的收入扣除折旧和摊销后的金额
pi	    税前利润，公司在缴纳税款前的总利润
ppenb	净固定资产，公司在扣除折旧后的固定资产净值
ppegt	固定资产总和，公司持有的固定资产总和
ppenls	固定资产出租净值，公司出租的固定资产在扣除折旧后的净值
ppent	净固定资产，公司在扣除折旧后的固定资产净值
prcc_c	股票收盘价（普通股），公司普通股的每日收盘价格
prcc_f	股票收盘价（优先股），公司优先股的每日收盘价格
prstkc	回购股票，公司回购的股票总数
prstkcc	回购股票（优先股），公司回购的优先股总数
pstk	优先股，公司发行的优先股总和
pstkl	优先股流通量，公司在外流通的优先股总量
pstkrv	优先股账面价值，公司优先股的账面价值
re	    留存收益，公司保留在企业内未分配的收益
rect	应收账款，公司应收的账款总和
recta	应收账款净额，公司应收账款在扣除坏账准备后的净额
revt	总收入，公司在特定时期内从其经营活动中获得的总收入
sale	销售额，公司在特定时期内的销售总额
scstkc	优先股的赎回价值，公司赎回优先股支付的金额
seq	    股东权益，公司股东的权益总和
spi	    特殊项目，公司在会计期间发生的特殊项目费用
sstk	发行股票，公司发行股票所获得的资金
tstkp	优先股的赎回，公司赎回优先股的支出
txdb	递延所得税负债，公司未来应支付的所得税负债
txdi	应交所得税，公司应支付的所得税
txditc	递延所得税资产，公司未来可抵扣的所得税资产
txfo	外国所得税，公司支付的国外所得税
txfed	联邦所得税，公司支付的联邦所得税
txp	    应付税款，公司应支付但尚未支付的税款
txt	    所得税费用，公司在特定时期内的所得税总支出
wcap	营运资本，公司流动资产减去流动负债后的净额
wcapch	营运资本变化，公司营运资本的变化量
xacc	应收账款的变化，公司应收账款的增减变动
xad	    广告费用，公司在特定时期内的广告支出
xint	利息费用，公司支付的利息费用
xrd	    研发费用，公司在特定时期内的研究与开发费用
xpp	    预付费用，公司支付但尚未发生的费用
xsga	销售与管理费用，公司在销售和管理活动中产生的总费用
paddml	累积折旧调整，公司对固定资产的折旧调整金额
pbnaa	净资产调整，公司对净资产的调整金额
pbnvv	净资产价值，公司持有的净资产的总价值
pbpro	生产性资产，公司生产活动所需的资产
pbpru	资产负债调整，公司对资产负债的调整金额
pcupsu	优先股调整，公司对优先股的调整金额
pplao	流动负债调整，公司对流动负债的调整金额
pplau	流动负债未调整，公司未调整的流动负债总和
year	年份，数据对应的年份
permno	公司永久编号，用于唯一标识公司在CRSP数据库中的编号
divamt	分红金额，公司在特定时期内支付的股息总额
distcd	分配代码，公司支付股息或其他分配时使用的代码
facshr	股份调整因素，公司股票分割或其他调整后的股份数量调整因素
rcrddt	记录日期，公司记录股东名册的日期
exdt	除息日，股票除息的日期
paydt	支付日期，公司支付股息或分配的日期
time_avail_m	数据可用时间（分钟），数据从生成到可用所需的时间
date	日期，数据记录的日期
mktrf	市场风险溢价，市场组合收益减去无风险利率
smb	    小市值减大市值组合收益，衡量小盘股相对于大盘股的表现
hml	    高账面市值比减低账面市值比组合收益，衡量价值股相对于成长股的表现
rf	    无风险利率，通常为短期国债收益率
umd	    动量因子，反映近期表现优于或劣于市场的股票收益差异
permco	公司永久代码，用于唯一标识公司在CRSP数据库中的代码
ret	    收益率，公司股票在特定时期内的收益率
retx	除权收益率，公司股票除权后的收益率
vol 	交易量，公司股票在特定时期内的交易数量
shrout	流通股数，公司在外流通的普通股总数
prc	    价格，公司股票在特定日期的市场价格
cfacshr	调整后流通股数，公司股票分割或其他调整后的流通股数
bidlo	最低买入价，公司股票在特定时期内的最低买入价格
askhi	最高卖出价，公司股票在特定时期内的最高卖出价格
shrcd	股票代码，公司股票的交易代码
exchcd	交易所代码，公司股票所在的交易所代码
siccd	行业分类代码，公司所属的行业分类代码
ticker	股票代码，公司在证券交易所使用的简短代码
shrcls	股票类别，公司股票的类别代码
dlstcd	停牌代码，公司股票在交易所停牌时使用的代码
dlret	停牌收益，公司股票停牌后的收益
mve_c	市值，公司在特定时期内的总市值
ps_innov	市场溢价创新，公司股票的市场溢价创新
vwretd	加权平均市场回报率，市场加权平均回报率
ewretd	等权平均市场回报率，市场等权平均回报率
usdval	美元值，公司资产或收入的美元总值
acperm	累积许可，公司累积的许可证或授权
fyearq	财务季度年度，公司财务季度对应的年度
fqtr	财务季度，公司财务年度内的季度
datacqtr	数据季度，公司数据对应的季度
datafqtr	数据财务季度，公司数据对应的财务季度
acoq	季度应收账款，公司季度内的应收账款
actq	季度流动资产，公司季度内的流动资产
ajexq	季度折旧调整系数，公司季度内的折旧调整系数
apq	    季度应付账款，公司季度内的应付账款
atq	    季度总资产，公司季度内的总资产
ceqq	季度股东权益，公司季度内的股东权益
cheq	季度现金及现金等价物，公司季度内的现金及现金等价物
cogsq	季度销售成本，公司季度内的销售成本
cshoq	季度流通股数，公司季度内的流通股总数
cshprq	季度普通股，公司季度内的普通股
dlcq	季度短期债务，公司在季度内需偿还的短期债务
dlttq	季度长期债务，公司在季度内需偿还的长期债务
dpq	    季度折旧费用，公司在季度内的固定资产折旧费用
drcq	季度应收票据，公司在季度内应收的票据总额
drltq	季度长期应收账款，公司在季度内应收的长期账款
dvpsxq	季度普通股每股股息，公司季度内每股普通股支付的股息
dvpq	季度优先股股息，公司在季度内支付的优先股股息
dvy	    年度股息收益率，公司年度内的股息收益率
epspiq	季度基本每股收益，公司季度内的基本每股收益
epspxq	季度稀释每股收益，公司季度内的稀释每股收益
fopty	年度财务运作利润，公司年度内财务运作产生的利润
gdwlq	季度商誉，公司在季度内的商誉
ibq	    季度净利润，公司季度内扣除所有费用和税款后的净利润
invtq	季度库存，公司在季度内的库存总额
intanq	季度无形资产，公司在季度内持有的无形资产总额
ivaoq	季度其他流动资产，公司在季度内持有的其他流动资产
lcoq	季度流动负债，公司在季度内的流动负债总和
lctq	季度流动负债，公司在季度内需偿还的流动负债
loq	    季度其他负债，公司在季度内未归类的其他负债
ltq	    季度总负债，公司在季度内的所有负债总和
mibq	季度少数股东权益，公司在季度内少数股东的权益部分
niq	    季度净收益，公司在季度内扣除所有费用和税款后的净收益
oancfy	年度经营现金流，公司在年度内经营活动产生的现金流
oiadpq	季度运营利润折旧和摊销，公司在季度内运营利润扣除折旧和摊销的金额
oibdpq	季度运营收入折旧和摊销，公司在季度内运营收入扣除折旧和摊销的金额
piq	    季度税前利润，公司在季度内的税前利润
ppentq	季度净固定资产，公司在季度内扣除折旧后的固定资产净值
ppegtq	季度固定资产总和，公司在季度内持有的固定资产总和
prstkcy	年度回购股票，公司在年度内回购的股票总数
prccq	季度股票收盘价，公司季度内的股票收盘价
pstkq	季度优先股，公司在季度内发行的优先股总和
rdq	    季度研发费用，公司在季度内的研究与开发费用
req 	季度股东权益，公司在季度内的股东权益总和
rectq	季度应收账款，公司在季度内应收的账款总和
revtq	季度总收入，公司在季度内的总收入
saleq	季度销售额，公司在季度内的销售总额
seqq	季度股东权益，公司在季度内股东的权益总和
sstky	年度发行股票，公司在年度内发行的股票数量
txdiq	季度应交所得税，公司在季度内应支付的所得税
txditcq	季度递延所得税资产，公司在季度内可抵扣的递延所得税资产
txpq	季度应付税款，公司在季度内应支付但尚未支付的税款
txtq	季度所得税费用，公司在季度内的所得税总支出
xaccq	季度应收账款的变化，公司在季度内应收账款的增减变动
xintq	季度利息费用，公司在季度内的利息费用
xsgaq	季度销售与管理费用，公司在季度内的销售和管理费用
xrdq	季度研发费用，公司在季度内的研究与开发费用
capxy	年度资本支出，公司在年度内的资本支出
